nam,objectid,lokalita,min,nazovobec,mierazasia,wkb_geometry
Baštianský potok,1209574,skládka TKO,49.43523605,Košice-Myslava,"Nezverejnené (v zmysle § 20a, odseku 2 zákona č. 569/2007 Z. z.)",0101000020E6100000F4E159677C37354072A9349981594840
Cejkovský potok,1210196,skládka TKO,21.77455406,Cejkov,"Nezverejnené (v zmysle § 20a, odseku 2 zákona č. 569/2007 Z. z.)",0101000020E610000064D264871CC4354005E7CE48C53B4840
Čermeľský potok,1210483,ČS PHM Za štadiónom,24.9652466,Košice-Sever,v registri nie je uvedené,0101000020E6100000CFA8967D853D354059A64C3D025F4840
Črmel,1210482,ČS PHM Medzi mostami,87.45999156,Košice-Sever,v registri nie je uvedené,0101000020E61000006B40DD35684235404E5462A7CF5E4840
Črmel,1210483,ČS PHM Za štadiónom,5.84427906,Košice-Sever,v registri nie je uvedené,0101000020E6100000CFA8967D853D354059A64C3D025F4840
Hornád,1210480,Kukorelliho kasárne,72.96798599,Košice-Džungľa,v registri nie je uvedené,0101000020E61000004ED64FCF914435401FF83150075E4840
Hornád,1210482,ČS PHM Medzi mostami,15.71035505,Košice-Sever,v registri nie je uvedené,0101000020E61000006B40DD35684235404E5462A7CF5E4840
Hornád,1210959,VD Ružín,19.14353967,Malá Lodina,"Nezverejnené (v zmysle § 20a, odseku 2 zákona č. 569/2007 Z. z.)",0101000020E6100000388BF07BB816354022A9E9D7446E4840
Mlynský náhon,1210493,rušňové depo,88.42782146,Košice-Juh,v registri nie je uvedené,0101000020E6100000687A2C213F453540DA55AF4A3E5B4840
Šacký kanál,1209575,areál U.S.Steel,20.05588296,Košice-Šaca,v registri nie je uvedené,0101000020E610000044DF028A8C2F354052D3550583504840
Slančický potok,1210476,ČS PHM,45.66074216,Slanské Nové Mesto,v registri nie je uvedené,0101000020E6100000968D1C355C8335407A1615E604514840
